id,prediction
1,1
2,1
3,4
4,1
5,0
6,2
7,1
8,2
9,1
10,1
11,1
12,4
13,1
14,2
15,4
16,0
17,2
18,4
19,1
20,2
21,2
22,1
23,4
24,0
25,0
26,4
27,1
28,2
29,0
30,3
31,4
32,0
33,4
34,0
35,2
36,1
37,4
38,2
39,0
40,0
41,1
42,1
43,4
44,4
45,3
46,4
47,2
48,4
49,2
50,3
51,2
52,0
53,4
54,0
55,1
56,4
57,3
58,0
59,3
60,4
61,4
62,0
63,3
64,0
65,0
66,3
67,2
68,0
69,2
70,1
71,4
72,0
73,3
74,4
75,3
76,2
77,4
78,1
79,2
80,2
81,2
82,0
83,3
84,3
85,2
86,4
87,4
88,3
89,2
90,3
91,2
92,2
93,2
94,3
95,1
96,1
97,2
98,1
99,1
100,1
101,1
102,3
103,4
104,4
105,3
106,4
107,3
108,0
109,4
110,1
111,3
112,4
113,4
114,3
115,4
116,0
117,1
118,1
119,1
120,1
121,0
122,0
123,4
124,0
125,4
126,2
127,4
128,0
129,4
130,3
131,3
132,4
133,3
134,4
135,4
136,0
137,3
138,0
139,0
140,2
141,3
142,2
143,3
144,3
145,2
146,2
147,1
148,3
149,2
150,0
151,0
152,1
153,0
154,0
155,2
156,2
157,0
158,3
159,3
160,1
161,1
162,4
163,2
164,1
165,3
166,3
167,3
168,3
169,3
170,3
171,4
172,3
173,3
174,1
175,4
176,3
177,2
178,3
179,1
180,0
181,4
182,1
183,0
184,2
185,4
186,4
187,3
188,0
189,1
190,1
191,1
192,4
193,1
194,3
195,1
196,3
197,0
198,0
199,0
200,2
201,1
202,1
203,1
204,2
205,4
206,0
207,3
208,2
209,3
210,3
211,2
212,1
213,4
214,1
215,4
216,1
217,3
218,1
219,4
220,1
221,4
222,1
223,2
224,4
225,0
226,0
227,4
228,0
229,0
230,2
231,2
232,4
233,0
234,2
235,2
236,4
237,4
238,0
239,0
240,4
241,3
242,3
243,3
244,1
245,2
246,1
247,3
248,2
249,3
250,1
251,3
252,2
253,4
254,3
255,3
256,4
257,1
258,1
259,3
260,2
261,2
262,2
263,3
264,2
265,2
266,4
267,4
268,3
269,1
270,1
271,2
272,1
273,3
274,2
275,3
276,4
277,1
278,1
279,4
280,1
281,3
282,2
283,0
284,2
285,0
286,2
287,1
288,0
289,2
290,1
291,3
292,2
293,3
294,0
295,2
296,0
297,0
298,2
299,2
300,3
301,1
302,0
303,4
304,1
305,2
306,1
307,0
308,1
309,3
310,2
311,3
312,2
313,1
314,1
315,4
316,4
317,1
318,4
319,4
320,4
321,3
322,4
323,2
324,4
325,0
326,4
327,3
328,3
329,1
330,3
331,3
332,4
333,4
334,1
335,1
336,1
337,3
338,2
339,0
340,3
341,0
342,3
343,3
344,2
345,4
346,3
347,1
348,3
349,3
350,0
351,3
352,4
353,3
354,0
355,1
356,1
357,3
358,0
359,3
360,3
361,0
362,0
363,4
364,3
365,3
366,1
367,4
368,2
369,4
370,2
371,4
372,2
373,3
374,4
375,3
376,4
377,3
378,2
379,3
380,2
381,2
382,2
383,0
384,3
385,3
386,4
387,1
388,0
389,3
390,0
391,4
392,1
393,0
394,1
395,2
396,0
397,3
398,3
399,0
400,4
401,2
402,2
403,1
404,2
405,2
406,1
407,2
408,3
409,2
410,3
411,1
412,1
413,1
414,1
415,1
416,3
417,4
418,3
419,1
420,2
421,0
422,1
423,3
424,0
425,0
426,1
427,1
428,3
429,3
430,2
431,1
432,2
433,0
434,1
435,3
436,0
437,0
438,1
439,1
440,3
441,2
442,0
443,3
444,2
445,0
446,3
447,3
448,0
449,4
450,3
451,3
452,3
453,0
454,1
455,0
456,3
457,2
458,0
459,3
460,3
461,1
462,4
463,4
464,0
465,4
466,0
467,4
468,4
469,4
470,0
471,4
472,0
473,0
474,4
475,4
476,0
477,4
478,3
479,0
480,2
481,1
482,1
483,0
484,3
485,2
486,1
487,3
488,2
489,3
490,3
491,0
492,0
493,2
494,3
495,1
496,3
497,0
498,1
499,0
500,0
501,2
502,3
503,3
504,3
505,3
506,2
507,2
508,3
509,4
510,4
511,2
512,3
513,2
514,2
515,0
516,2
517,0
518,2
519,3
520,0
521,1
522,1
523,0
524,4
525,3
526,1
527,1
528,1
529,3
530,0
531,0
532,3
533,1
534,1
535,0
536,1
537,1
538,1
539,1
540,4
541,0
542,4
543,4
544,4
545,3
546,2
547,4
548,1
549,3
550,4
551,1
552,0
553,4
554,3
555,0
556,0
557,1
558,1
559,4
560,0
561,4
562,2
563,0
564,3
565,0
566,3
567,2
568,0
569,2
570,4
571,0
572,3
573,0
574,0
575,2
576,0
577,0
578,2
579,0
580,1
581,2
582,0
583,2
584,0
585,2
586,4
587,2
588,4
589,0
590,0
591,4
592,4
593,0
594,0
595,2
596,4
597,4
598,1
599,1
600,1
601,0
